onset	duration	trial_type	value	sample	emotion_label	binary_label	video_index	Joy	Tenderness	Inspiration	Amusement	Anger	Disgust	Fear	Sadness	Arousal	Valence	Familiarity	Liking
11.339	0.0	Experiment start	7	11339	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.84	0.0	Experiment start	7	11840	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.34	0.0	Experiment start	7	12340	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.841	0.0	Experiment start	7	12841	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.341	0.0	Experiment start	7	13341	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
26.343	0.0	201	1	26343	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61.539	0.0	202	2	61539	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
72.648	81.42000000000002	The Tokyo Trial	25	72648	Anger	negative	1	0.043750000000000004	0.021875000000000002	0.021875000000000002	0.029166666666666667	3.4052083333333334	2.1729166666666666	0.4520833333333334	1.6041666666666665	3.1572916666666666	1.7281250000000001	0.03645833333333333	2.165625
230.986	56.174000000000035	The Shining	23	230986	Fear	negative	7	0.03645833333333333	0.029166666666666667	0.014583333333333334	0.03645833333333333	0.36458333333333337	0.2625	5.723958333333334	0.18958333333333333	4.1781250000000005	1.5020833333333332	0.043750000000000004	0.8239583333333333
354.348	45.202	In Bruges	12	354348	Sadness	negative	10	0.051041666666666666	0.3208333333333333	0.03645833333333333	0.029166666666666667	0.029166666666666667	1.9322916666666667	1.2243733723958332	2.485831705729167	2.2171793619791664	1.0796793619791667	0.036971028645833334	2.632804361979167
466.372	78.73399999999998	Trainspotting	26	466372	Disgust	negative	4	0.043750000000000004	0.014583333333333334	0.007291666666666667	0.029166666666666667	0.03645833333333333	6.095833333333333	0.853125	0.03645833333333333	5.045833333333333	0.16041666666666665	0.0	0.03645833333333333
698.236	56.01400000000001	Modern Times	16	698236	Amusement	positive	17	3.551041666666667	0.021875000000000002	0.021875000000000002	6.402083333333334	0.03645833333333333	0.029166666666666667	0.014583333333333334	0.029166666666666667	5.636458333333334	5.651041666666666	0.03645833333333333	6.6499999999999995
817.804	63.22199999999998	 The Pursuit of Happiness	27	817804	Tenderness	positive	26	3.580208333333333	6.4312499999999995	2.49375	0.03645833333333333	0.03645833333333333	0.021875000000000002	0.043750000000000004	0.043750000000000004	2.7781249999999997	6.073958333333334	4.7906249999999995	5.089583333333334
948.398	34.235000000000014	My Neighbor Totoro	18	948398	Joy	positive	23	4.907291666666667	4.039583333333333	0.8093750000000001	2.821875	0.043750000000000004	0.021875000000000002	0.03645833333333333	0.029166666666666667	2.6906250000000003	4.360416666666667	0.029166666666666667	5.140625
1063.717	129.23299999999995	Forrest Gump	8	1063717	Inspiration	positive	20	1.1666666666666665	2.2895833333333333	6.08125	0.74375	0.03645833333333333	0.021875000000000002	0.029166666666666667	0.029166666666666667	2.479166666666667	6.496875	3.9229166666666666	5.526456705729167
1344.591	37.36600000000021	Night at the Museum Ⅲ	19	1344591	Joy	positive	24	1.8812499999999999	2.6906250000000003	0.007291666666666667	0.03645833333333333	0.03645833333333333	0.043750000000000004	0.029166666666666667	0.007291666666666667	1.5458333333333334	3.8645833333333335	0.043750000000000004	3.8135416666666666
1446.055	77.22599999999989	The Theory of Everything	24	1446055	Inspiration	positive	21	0.44479166666666664	0.73614501953125	5.87677001953125	0.036145019531249996	0.021561686197916666	0.028853352864583334	0.021561686197916666	0.021561686197916666	1.6552083333333334	4.688541666666667	0.029166666666666667	3.930208333333333
1592.234	54.269000000000005	Juno	14	1592234	Tenderness	positive	27	1.8229166666666667	4.6156250000000005	0.029166666666666667	0.021875000000000002	0.043750000000000004	0.03645833333333333	0.014583333333333334	0.029166666666666667	3.726041666666667	5.067708333333334	0.007291666666666667	4.302083333333334
1715.213	69.79999999999995	Minions	15	1715213	Amusement	positive	18	3.5	0.03645833333333333	0.014583333333333334	4.8999999999999995	0.014583333333333334	0.014583333333333334	0.014583333333333334	0.03645833333333333	2.5375	5.0531250000000005	0.007291666666666667	6.679166666666667
1929.738	73.31799999999998	City of Life and Death	4	1929738	Anger	negative	3	0.03645833333333333	0.03645833333333333	0.014270019531249999	0.04343668619791667	3.9736450195312503	1.2976033528645834	0.4153116861979167	0.9403116861979167	2.6760416666666664	0.7000000000000001	0.014583333333333334	3.201041666666667
2065.716	90.63500000000022	Hellraiser	11	2065716	Disgust	negative	6	0.043750000000000004	0.007291666666666667	0.014583333333333334	0.029166666666666667	0.007291666666666667	5.869791666666666	3.8937500000000003	0.029166666666666667	4.046875	0.371875	0.029166666666666667	0.9770833333333333
2214.565	82.14300000000003	Gangs of New York	9	2214565	Sadness	negative	12	0.03645833333333333	2.5739583333333336	0.0	0.021875000000000002	0.029166666666666667	0.043750000000000004	0.0	1.640625	2.705208333333333	2.9536376953125	0.015096028645833334	3.639054361979167
